6670
4240
4012
1322
6000
2480
6868
5847
5001
5383
5846
4967
4661
6599
2730
4950
4780
3939
5552
3125
2316
1233
4233
4176
4432
4654
4949
4812
3740
5031
5005
3300
4972
3043
3143
5000
4666
4710
963
173
87
55
426
140
96
914
67
85
846
909
905
917
920
527
1425
882
217
271
629
106
939
53
682
17
63
999
231
962
701
1000
1193
1048
1312
1609
1370
1522
1839
1981
76
73
105
1437
1364
1633
1269
1861
1440
1340-RU
040-JP
ES-105
281-FR
1011
1178
1514
1984
1171
1459
1447
2600-EX
1733
1782
1762
248
750
958
748
1377
1500
1422
2000
2365
2384
2844
2875
186
2776
2264
2747
2200
2662
2740
2602
2935
529
993
2030
2845
1730
789-J
031-J
2000-J
\̅\̅\̅\̅-J
____-J
2872
2599
2800
2852
610
2095
2217
2309
2307
2399
2874
332
1976
1423
1833
067-EX
4445-EX
1933-EX
2700-EX
720-J
1051
1545
329-J
682-J
2075
2406
2478
●●|●●●●●|●●|●
2521
3000
3005
3006
3199
3002
3086
3302
3521
3802
3127
3179
3166
784
1933
3355
2412-J
662
1867
3008
2256
3902
3238
888-EX
3466
3465
3160
7475-J
1449
2932
3721
4690
4495
3034
2419
3128
5167
5761
93
777-J
3790
3220
5832
3001
2317
169
1290
1678
2466
2241
2639
3078
3318
4290
872
1715
4505
4000
Taboo
